ID,大分類,中分類,打ち手,概要・補足,フェーズ,インパクト,実行容易性,優先度
1,1. 商品,1-1. コア商品（抹茶）の拡張,フレーバー展開,バニラ・ストロベリー・ピスタチオ・ほうじ茶等。Jade Leafは6フレーバー以上で成功,Phase 2,,,
2,1. 商品,1-1. コア商品（抹茶）の拡張,グレード展開,エントリー / スタンダード / プレミアム / コンペティション,Phase 2,,,
3,1. 商品,1-1. コア商品（抹茶）の拡張,産地別シングルオリジン,宇治・西尾・八女・鹿児島・狭山・和束。缶コレクション性と直結,Phase 2,,,
4,1. 商品,1-1. コア商品（抹茶）の拡張,季節限定ブレンド,春の新茶・夏の冷茶向け・秋冬の濃茶向け。サブスクの飽き防止にも,Phase 2,,,
5,1. 商品,1-1. コア商品（抹茶）の拡張,容量バリエーション,ミニ缶15g / 標準60g / 大缶100g,Phase 1,,,
6,1. 商品,1-1. コア商品（抹茶）の拡張,お試しサンプラーセット,3産地×少量。新規獲得ファネルの入口として,Phase 1,,,
7,1. 商品,1-1. コア商品（抹茶）の拡張,用途別設計,薄茶用 / ラテ用 / 製菓用 / スムージー用,Phase 2,,,
8,1. 商品,1-1. コア商品（抹茶）の拡張,カフェインレス抹茶,妊婦・カフェイン感受性高い層向け。ニッチだが刺さる層がいる,Phase 3,,,
9,1. 商品,1-1. コア商品（抹茶）の拡張,オーガニック認証ライン,有機JAS / USDA Organic。海外展開時に特に重要,Phase 2,,,
10,1. 商品,1-2. 別形態の抹茶商品,スティックパック,個包装。缶モデルと併売 or ギフト・携帯用。OEM問い合わせ済み想定,Phase 2,,,
11,1. 商品,1-2. 別形態の抹茶商品,RTDボトル（ペットボトル / 缶ドリンク）,コンビニ・スーパー向け。RTD抹茶市場はCAGR 9.7%。資本集約的,Phase 3,,,
12,1. 商品,1-2. 別形態の抹茶商品,RTD紙パック,コンビニ・スーパー向け。ボトルより低コストで参入可能,Phase 3,,,
13,1. 商品,1-2. 別形態の抹茶商品,抹茶ラテミックス,ミルクパウダー・甘味料入り。お湯だけで完成。初心者の入口に,Phase 2,,,
